,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error,Documentary,Sci-Fi,Drama,N/A,Fantasy,Horror,Thriller,Action,Adventure,War,Comedy,Music,Mystery,History,Biography,Crime,Family,Romance,Western,Sport,News,Animation,Musical,Short,Reality-TV,Game-Show
1701,Off the Record,2019,N/A,14 Feb 2019,94 min,"Comedy, Drama",Olivier Dalipagic,"Allison Burnett, Claude Hurwicz, James Quill","James Quill, Jon Michael Davis, Harper Quill, Gwendoline Courreges","He's back. Eighties Rock Star Jonny Coyle tries a new start in his hometown of Austin, Texas. Stumbling forward through a music world he hardly recognizes anymore, struggling to stay clean ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNTIzOGE0ZTAtZThiMS00ZDc5LWFiMWMtYzM1MmY2MWI5ZWRhXkEyXkFqcGdeQXVyNjg3MzM0Mjc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}]",N/A,8.9,8,tt6428170,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702,Plaster of Paris,2013,N/A,05 Dec 2013,76 min,"Animation, Drama",Cora Clifford,Cora Clifford,Cora Clifford,"Sarah is a Christian woman who tells the audience about her past, her personal life, how she became an alcoholic.",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt3267466,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1703,Tocatta & Fugue,2007,N/A,01 Oct 2007,76 min,Thriller,Neal Thibedeau,"Annika Marks, Graham Sibley, Neal Thibedeau","Graham Sibley, Annika Marks, Garrett M. Brown, Sarah Louise Wilson","After the death of his younger brother, Gil Tocatta becomes obsessed with his family curse and his premonition that he he too will be dead soon. A shadowy figure has started to follow Gil. ...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1316081,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1704,Nine Lives,2004,R,14 Aug 2004,74 min,"Drama, Romance",Dean Howell,"Michael Kearns (screenplay), Dean Howell (screenplay), Michael Kearns (adapted from the play ""Complications"" written by)","Michael Kearns, Ethan Mechare, Matt Crabtree, David Bauman","One person's life leads to another in this web of tales about drugs, sex, gay life, aging and being HIV+. Each is played out in a series of steamy, telling monologues.",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTY3OTM5MzE2NV5BMl5BanBnXkFtZTcwNTc2NDYyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,355,tt0371008,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1705,Paranormal Investigators,2011,N/A,01 Jun 2011,74 min,"Documentary, Horror, Mystery",N/A,N/A,"Jason Baker, Rachel Baker, Wes Booth, Gregg Cable","Follow the MRIPA team from start to finish as they investigate the paranormal claims of the Grissom Air Museum in Peru, Indiana. Founder Jason Baker must lead his team through the arduous ...",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,9,tt1900952,movie,N/A,N/A,N/A,N/A,True,,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1706,Lost/Found,2003,N/A,12 Sep 2003,70 min,Drama,Scott Beck,Scott Beck,"Justin Marxen, Ken Lue, Christina Lundt, Greg Bouljon","Keith Johnson, an isolated writer, finds hope through four lives and a series of classified ads.",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,16,tt0407954,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707,Flora's Garment Bursting Into Bloom,2003,NOT RATED,01 Mar 2009,93 min,Drama,Kevin Baggott,Kevin Baggott,"Kevin Baggott, Janice Danielle, Claudina Del Guidice, Etienne Navarre",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",N/A,8.6,7,tt0397425,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1708,Word from a Gamer,2018,N/A,28 Feb 2018,92 min,N/A,"Steve Wollett, Ryan Callaway",Steve Wollett,"Carmine Giordano, John Wick, E. Gary Gygax, Melania Zalipsky","A look deep inside of tabletop gaming culture. With concise interviews with gaming legends, and exploration of gaming conventions we will attempt to understand why people still play tabletop games.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNGZkNDFlNmMtMGU5OC00ZjZjLWJhNDQtYzRiMWNmMmFmODI1L2ltYWdlXkEyXkFqcGdeQXVyNDI4OTcxMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}]",N/A,8.8,"1,225",tt6023118,movie,N/A,N/A,N/A,N/A,True,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1709,It Takes a Village,2009,N/A,15 Jan 2013,100 min,Drama,Ametra Self,Ametra Self (screenwriter),"Kendall Bell, Maurice Walls, Laura E. Walls, Tierra Winston","It Takes a Village is the story of a young, single father determined to discover why academic failure is plaguing his young son and his young peers. With the help of Junior High students ...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1326799,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710,Weekend,2011,N/A,N/A,80 min,"Comedy, Drama",Randal Kamradt,Randal Kamradt,"Ben Aguirre, Kayti Bulfinch, Tim Castro, Gabriel Enriquez","Margret's boyfriend died under tragic circumstances two years ago. One Friday night she sends him a text message about how she misses him. Impossibly, she receives a reply. Unwilling to ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTYwMjU5OTY3Ml5BMl5BanBnXkFtZTcwMDk4NDExNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",N/A,4.3,6,tt1910670,movie,21 Aug 2012,"$317,593",IFC Films,http://www.weekend-film.com,True,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1711,Lusten till ett liv,1999,N/A,01 Apr 1999,89 min,"Biography, Drama, Musical",Christer Engberg,"Christer Engberg, John Olsson","Mattias Barthelsson, Martin Wikström, Henrik Algestam, Sara Arnia","The rise and fall of the ""progg""-band ""Verket"". A beautiful story about friendship, love, music and politics.",Swedish,Sweden,1 win.,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,77,tt0176953,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1712,Paper Shoes,2010,N/A,N/A,80 min,"Comedy, Drama",David Dillehunt,"David Dillehunt (story), Tiffany Waggoner (story)","David Dillehunt, Tiffany Waggoner","Two complete strangers meet and share a day of fun, food, and facts about each other, before departing at the end of the day.",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1790800,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713,Judgment,2001,PG-13,06 Mar 2001,105 min,"Drama, Sci-Fi, Thriller",André van Heerden,"André van Heerden, Peter Lalonde (screenplay), Paul Lalonde","Corbin Bernsen, Jessica Steen, Leigh Lewis, Mr. T","In this third sequel to Apocalypse: Caught in the Eye of the Storm (1998), Mitch Kendrick, a lawyer who never fully accepted the Devil, is thrown in a faux trial to frame and convict a Christian in a world where followers of Jesus are persecuted and killed.",English,Canada,2 nominations.,https://m.media-amazon.com/images/M/MV5BMjA5MjEyODI0MV5BMl5BanBnXkFtZTcwMjkxMTAwMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,605,tt0257408,movie,29 Mar 2005,N/A,Cloud Ten Pictures,N/A,True,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1714,The Red Machine,2009,NOT RATED,N/A,84 min,"Adventure, Crime, Drama, History, Mystery, War","Stephanie Argy, Alec Boehm",N/A,"Lee Perkins, Donal Thoms-Cappello, Meg Brogan, Maureen Byrnes","Washington, DC, 1935: At the height of the Great Depression, a charming and irrepressible young thief is forced to help an icy and mysterious United States Navy spy steal a brand new device...","English, Japanese",USA,4 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTEyODkwMDM4NTleQTJeQWpwZ15BbWU4MDMwNTI3MDEx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,235,tt1218510,movie,N/A,N/A,Mental Slapstick,N/A,True,,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1715,Swing Kids,1993,PG-13,05 Mar 1993,112 min,"Drama, Music",Thomas Carter,Jonathan Marc Feldman,"Robert Sean Leonard, Christian Bale, Frank Whaley, Barbara Hershey","A close-knit group of young kids in Nazi Germany listen to banned swing music from the U.S. Soon, dancing and fun lead to more difficult choices, as the Nazis begin tightening their grip on...",English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYzEyYTk0NzQtNTE2Zi00YjQwLThjMjYtODc4NDUzYWM3ZDY3XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,6.8,"14,958",tt0108265,movie,03 Sep 2002,N/A,Buena Vista Pictures,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716,Wonders Are Many,2007,NOT RATED,01 Jan 2007,92 min,Documentary,Jon Else,N/A,"John Adams, Peter Sellars, Gerald Finley, Thomas Glenn","A documentary on the making of Dr. Atomic, a modern opera about the making of the atomic bomb.",English,USA,N/A,https://ia.media-imdb.com/images/M/MV5BMTg0MjY1NDE1MV5BMl5BanBnXkFtZTcwODA2NjUxMg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}]",N/A,8.3,41,tt0912601,movie,24 Feb 2009,N/A,Docurama,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717,Wages of Sin,2006,R,08 Oct 2006,93 min,Horror,Aaron Robson,"Adam S. Leslie, Christine Locker, Lee Ann Riddle, Aaron Robson","Ashlie Victoria Clark, Ray Gunn, Emily Lucas, Brandon Michael",A Supernatural thriller that weaves a tale of darkness and suspense. The past will never stay hidden.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjAxNTI2ODE0MV5BMl5BanBnXkFtZTcwOTE0NTk0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.6/10'}]",N/A,2.6,236,tt0825342,movie,24 Jul 2007,N/A,Echo Bridge Home Entertainment,N/A,True,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718,Boy Culture,2006,Unrated,31 Jan 2007,88 min,"Drama, Romance",Q. Allan Brocka,"Matthew Rettenmund (based on the novel by), Philip Pierce (written for the screen by), Q. Allan Brocka (written for the screen by)","Derek Magyar, George Jonson, Patrick Bauchau, Darryl Stephens","A successful male escort describes in a series of confessions his tangled romantic relationships with his two roommates and an older, enigmatic male client.",English,USA,9 wins.,https://m.media-amazon.com/images/M/MV5BMTQ5MjUyOTMzN15BMl5BanBnXkFtZTcwMzIzMDMzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.8,"5,216",tt0433350,movie,14 Aug 2007,N/A,TLA Releasing,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1719,Gholam,2017,N/A,25 May 2017,94 min,"Drama, Thriller",Mitra Tabrizian,"Mitra Tabrizian (Based on an original idea by), Cyrus Massoudi","Tracie Bennett, Shahab Hosseini, Nasser Memarzia, Amerjit Deu","Haunted by his past and with an uncertain future, Gholam gets involved in the conflict of a total stranger and sees it through to the very end.","English, Persian","UK, Iran",N/A,https://ia.media-imdb.com/images/M/MV5BNmFkM2UxYzgtY2EyNC00Mzc2LWI1M2ItODU1YmQ4NDU4Y2Q0XkEyXkFqcGdeQXVyNjY2OTM4MzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,164,tt3511928,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720,About a Bum and a Boy,2013,N/A,N/A,89 min,Comedy,"Keaton Rogers, Nick Vojdani","Keaton Rogers, Keaton Rogers (story), Nick Vojdani","Caroline Anderson, Victoria Anne Greenwood, Chris McCoy, Keaton Rogers","Our film, 'About a Bum and a Boy' is a wacky, character driven, comedy about friendship with heart. It all begins when a bum, known as the High School Bathroom Bum, gets his name by moving ...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt3387416,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1721,String Theory,2004,N/A,05 Dec 2004,100 min,Drama,Eliam Kraiem,Eliam Kraiem,"Dylan Carusona, Misha Klein, Arron Shiver, Jessica Wallenfels","String Theory is a look into the lives of Johnny Otis and Zeke, who all want to escape the traps of small town life. They swear and oath ""before the gods"", to put their friendship before ...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt0463374,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1722,The Light Between Oceans,2016,PG-13,02 Sep 2016,133 min,"Drama, Romance",Derek Cianfrance,"Derek Cianfrance (written for the screen by), M.L. Stedman (novel)","Michael Fassbender, Alicia Vikander, Rachel Weisz, Florence Clery",A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from a drifting rowing boat.,English,"UK, New Zealand, USA, India",1 win & 11 nominations.,https://m.media-amazon.com/images/M/MV5BNTI1NzQzMjgxOF5BMl5BanBnXkFtZTgwOTY1OTY2OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,7.2,"48,858",tt2547584,movie,24 Jan 2017,"$12,533,911",Dreamworks Pictures,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1723,Not Quite Right,2005,N/A,05 Jan 2005,90 min,"Comedy, Drama",Philip Schaff,Philip Schaff,"Corey Schaffer, Philip Schaff, Craig Hennon, Stephen Bowman","Four socially maladjusted brothers, each with their own set of significant problems, are suddenly cut loose from their father's dole and must try to fend for themselves. Not Quite Right ...",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,15,tt0438285,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1724,Promising Young Woman,2020,N/A,17 Apr 2020,113 min,"Crime, Drama, Thriller",Emerald Fennell,Emerald Fennell,"Carey Mulligan, Bo Burnham, Laverne Cox, Clancy Brown","A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who cross her path.",English,UK,N/A,https://m.media-amazon.com/images/M/MV5BZmZmMTM3ZGItOWYyYy00NjNjLWI2NDItZDI1NDNhMjEwNGQzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,6.8,194,tt9620292,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1725,SuperMarioLogan: The New House,2017,N/A,03 Feb 2017,94 min,Comedy,"Ryan Austin, Logan Thirtyacre",N/A,"Elaina Keyes, Chris Netherton, Lovell Stanton, Lance Thirtyacre","After the koopalings destroyed their house, mario rosalina junior and everyone else are homeless, but they are given a house to live in.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNGI1YzUzODgtMmIxZS00ZDA1LWI5NDctYmU4M2I0ZDIyYWVlL2ltYWdlXkEyXkFqcGdeQXVyNjc3MjE4Mzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,14,tt6495538,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1726,The Surfer King,2006,PG-13,N/A,95 min,Comedy,Bernard Murray Jr.,Bernard Murray Jr.,"Randy Wayne, Ben Ziff, Cerina Vincent, Keri Lynn Pratt","Seventeen-year old Robbie Zirpollo has a problem. As the film opens, his mother is driving him to his new summer job. We learn that Robbie has grown up in Oceanside, California, but now he ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTk3MzAyMzIwMl5BMl5BanBnXkFtZTcwOTM4NjE1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}]",N/A,3.9,334,tt0418206,movie,21 Aug 2007,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1727,A Estrada 47,2013,N/A,23 Apr 2015,107 min,"Drama, History, War",Vicente Ferraz,Vicente Ferraz,"Sergio Rubini, Daniel de Oliveira, Thogun Teixeira, Francisco Gaspar","The unusual meeting between three deserters from different nationalities (Brazil, German and Italy) during World War II.","Portuguese, Italian, German, English, Spanish","Italy, Brazil",8 wins & 17 nominations.,https://m.media-amazon.com/images/M/MV5BMjE2NDQ4NDk5OF5BMl5BanBnXkFtZTgwNDMyMTkxNTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,550,tt1841490,movie,N/A,N/A,Primo Filmes,N/A,True,,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1728,"Bad, Bad Men",2016,N/A,06 Jan 2017,83 min,Comedy,"Brad Ellis, Allen C. Gardner",Allen C. Gardner,"Allen C. Gardner, Drew Smith, Matt Mercer, Gabe Arredondo","After being taunted at a coffee shop, a timid young man enlists his two best friends to help him track his newfound bully down and put him in his place. They do just that, but misguided machismo then fuels an ensuing battle of wills.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BN2Q1YTY1OTEtYTdlMi00ODY2LWI3ZTMtOTNkZjQ5NjcxMDMwXkEyXkFqcGdeQXVyNzI2NzE0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,14,tt3975584,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1729,Liquor Day Saints,2010,N/A,01 Dec 2010,125 min,"Comedy, Drama",Tyler Cole,"Tyler Cole (story), Tyler Cole","London Bengel, Christopher Borja, Trinity Scott Brown, Paul Carganilla",A comedy about the underdog whom rises from the ashes of his office demotion.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTQ4MTcwODc1MF5BMl5BanBnXkFtZTgwNjc0ODM3MDE@._V1_SX300.jpg,[],N/A,N/A,N/A,tt1922653,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1730,Spenser Confidential,2020,R,06 Mar 2020,110 min,"Crime, Drama, Mystery, Thriller",Peter Berg,"Sean O'Keefe (screenplay by), Brian Helgeland (screenplay by), Ace Atkins (novel), Robert B. Parker (novel)","Mark Wahlberg, Colleen Camp, Alan Arkin, Bokeem Woodbine",Ex-felon and former police detective Spenser returns to Boston's criminal underworld to unravel a twisted murder conspiracy.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTdkOTEwYjMtNDA1YS00YzVlLTg0NWUtMmQzNDZhYWUxZmIyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt8629748,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1731,A Fall from Freedom,2011,Not Rated,01 Sep 2011,82 min,"Documentary, History",N/A,Stanley Minasian,"Brad Andrews, Ken Balcomb, Hardy Jones, Lori Marino",The first comprehensive film to reveal the long and sordid history of the captive whale and dolphin entertainment business. Many of these marine parks and aquariums are directly or ...,N/A,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTk4ODU3NjA5MV5BMl5BanBnXkFtZTgwOTI1Njg4MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,70,tt2090446,movie,14 Jan 2014,N/A,Indican Pictures,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1732,The Rough South of Larry Brown,2002,N/A,01 Jun 2002,85 min,Documentary,Gary Hawkins,Gary Hawkins,"Will Patton, Natalie Canerday, Dakota Smith, Paul Schneider","The life and works of Oxford, Miss. fireman-turned-writer Larry Brown are examined in a unique documentary format that incorporates narrative film adaptations of three of his short stories:...",N/A,USA,3 wins.,https://m.media-amazon.com/images/M/MV5BMTQ1ODYxNjE1M15BMl5BanBnXkFtZTcwMjQzMDUyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}]",N/A,3.7,137,tt0280079,movie,N/A,N/A,N/A,N/A,True,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1733,El sol de los venados,2004,N/A,N/A,2 h 25 min,Drama,James Ordonez,James Ordonez,"Lupe Gutierrez, Jorge López, John Restrepo, Lorena Rincon",A tragic and epic love story based on Romeo and Juliet and on the Biblical story of Mary Magdalene....,N/A,N/A,N/A,https://m.media-amazon.com/images/M/MV5BMTY2ODQxMDYwNV5BMl5BanBnXkFtZTcwMDg3NzgyMQ@@._V1_SX640.jpg,[],N/A,N/A,N/A,tt0400840,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1734,The Face of Love,2013,PG-13,25 Oct 2013,92 min,"Drama, Mystery, Romance",Arie Posin,"Matthew McDuffie, Arie Posin","Annette Bening, Ed Harris, Robin Williams, Jess Weixler",A widow falls for a guy who bears a striking resemblance to her late husband.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BNTUwNjc0NDgxMV5BMl5BanBnXkFtZTgwMzMwNDEzMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.2,"4,905",tt1839642,movie,14 Jul 2014,"$188,627",IFC Films,N/A,True,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1735,Titillating Steven,2003,N/A,03 Jul 2003,83 min,Comedy,"Jacqueline Donelli, Kerry Donelli","Jacqueline Donelli, Kerry Donelli","Teresa Berkin, Mitch Berlow, Claudine Claudio, Gregory Cohen","A comedy, partially based on a true story, of twin sisters who struggle to get their screenplay produced in Hollywood and directed by the legendary Steven Speil""stein"". Bad jobs, depressing...",English,USA,4 wins.,https://m.media-amazon.com/images/M/MV5BMjI1MjU4MjA3NF5BMl5BanBnXkFtZTgwODcxOTkwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,21,tt0378883,movie,23 Jan 2007,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1736,Unreal,2004,NOT RATED,09 May 2004,95 min,"Comedy, Romance",Sloan Copeland,Sloan Copeland,"Michael Giese, Amber Ryan, David M. Zuber, Kate Forsatz","Witness the trials and tribulations of post breakup single life in New York City, and find out just how manipulated this documentary is.",English,USA,2 wins.,https://m.media-amazon.com/images/M/MV5BMTIyNDY5OTcyMF5BMl5BanBnXkFtZTcwMzAwOTUyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,72,tt0408298,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1737,Fractured,2019,TV-MA,11 Oct 2019,99 min,"Mystery, Thriller",Brad Anderson,Alan B. McElroy,"Sam Worthington, Lily Rabe, Lucy Capri, Adjoa Andoh","A couple stops at a gas station, where their 6 y.o. daughter's arm is fractured. They hurry to a hospital. Something strange is going on there. The wife and daughter go missing.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZTE0MWE4NzMtMzc4Ny00NWE4LTg2OTQtZmIyNDdhZjdiZmJhXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Metacritic', 'Value': '36/100'}]",36,6.3,"38,162",tt4332232,movie,N/A,N/A,N/A,N/A,True,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1738,The Life of Grace,2020,TV-MA,12 Jan 2020,91 min,"Drama, Horror",Jenifer Harvey,Jenifer Harvey,"Lee Behymer, Janna Garland, Breanna Harvey, Erick Hatter","Deciding that her chances are better on the streets, Grace journeys out into the unknown travelling down a long, hard road, discovering the good and the bad of human nature along the way.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjJjYjg4MjEtZGI2ZC00M2E5LWI3YWUtMzEwMmEwZjNkNzgyXkEyXkFqcGdeQXVyMjMxMjk2NjU@._V1_SX300.jpg,[],N/A,N/A,N/A,tt11557312,movie,N/A,N/A,N/A,N/A,True,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
